"id","name","nameTurkish","nameNative"
153,"Aruba","Aruba","Aruba"
154,"Myanmar","Myanmar","Myanma"
155,"Butan","Butan","Butan"
156,"Chad","Çad","تشاد"
157,"Mayotte","Mayotte","Mayotte"
158,"Zambia","Zambiya","Zambia"
159,"Turkmenistan","Türkmenistan","Türkmenistan"
160,"Djibouti","Cibuti","جيبوتي"
161,"Cambodia","Kamboçya","Kampuchea"
162,"Costa Rica","Kosta Rika","Costa Rica"
163,"Svalbard","Svalbard","Svalbard"
164,"Mauritius","Mauritius","Maurice"
165,"El Salvador","El Salvador","El Salvador"
166,"Afghanistan","Afganistan","افغانستان"
167,"Botswana","Botsvana","Botswana"
168,"Kyrgyzstan","Kırgızistan","Кыргызстан"
169,"Guam","Guam","Guam"
170,"Swaziland","Svaziland","Swaziland"
171,"Guadeloupe","Guadeloupe","Guadeloupe"
172,"Suriname","Surinam","Suriname"
173,"Oman","Umman","عُمان"
174,"Lesotho","Lesotho","Lesotho"
175,"Eritrea","Eritre","إرتريا"
176,"East Timor","Doğu Timor","Timor Lorosa'e"
177,"Bangladesh","Bangladeş","বাংলাদেশ"
178,"Niue","Niue","Niue"
179,"Singapore","Singapur","Singapura"
180,"Republic of Congo","Kongo","Republic of Congo"
181,"Benin","Benin","Bénin"
182,"Belize","Belize","Belize"
183,"Pitcairn Islands","Pitcairn Adaları","Pitcairn Islands"
184,"Cameroon","Kamerun","Cameroon"
185,"Papua New Guinea","Papua Yeni Gine","Papua New Guinea"
186,"Venezuela","Venezuela","Venezuela"
187,"India","Hindistan","India"
188,"Barbados","Barbados","Barbados"
189,"Egypt","Mısır","مصر"
191,"Syria]","Suriye","سورية"
192,"Jordan","Ürdün","الأردن"
193,"New Zealand","Yeni Zelanda","New Zealand"
194,"Paraguay","Paraguay","Paraguay"
196,"Namibia","Namibya","Namibia"
197,"Fiji","Fiji","Fiji"
198,"Samoa","Samoa","Samoa"
199,"Argentina","Arjantin","Argentina"
200,"Chile","Şili","Chile"
201,"Uruguay","Uruguay","República Oriental del Uruguay"
202,"Iran","İran","ایران"
203,"Libya","Libya","ليبيا"
204,"Palestine","Filistin","فلسطين"
205,"Israel","İsrail","ישראל"
206,"Kudus","Kudus","Kudus"
207,"Russia","Rusya","Россия"
208,"Belarus","Beyaz Rusya","Беларусь"
209,"Cuba","Küba","Cuba"
